,Artist_Name,Track_Name,Popularity,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,time_signature,Genre,duration_in_min
58,El Goodo,Feel so Fine,30.0,0.247,0.88,-3.057,1,0.097,2.01e-05,0.122,0.333,134.445,4.0,10.0,3.9582166666666665
59,Keb' Mo',The Medicine Man [Feat. Old Crow Medicine Show],54.0,0.801,0.637,-6.406,1,0.0565,0.169,0.0925,0.769,77.012,4.0,2.0,3.6393333333333335
60,Why Bonnie,Athlete,24.0,0.539,0.578,-8.522,1,0.0278,0.0987,0.28,0.353,102.03,4.0,10.0,3.198166666666667
61,Snoop Dogg,Beautiful,63.0,0.907,0.695,-6.268,0,0.135,0.246,0.0808,0.961,101.007,4.0,5.0,4.971783333333334
62,MOD SUN,Stay Away (feat. Machine Gun Kelly & Goody Grace),68.0,0.667,0.636,-5.669,1,0.082,0.022,0.0908,0.152,158.058,4.0,10.0,2.5315166666666666
63,Turbo Knight,Rasengan,43.0,0.436,0.944,-7.981,1,0.0398,0.0035,0.105,0.588,110.002,4.0,6.0,5.12575
64,The Black Crowes,Sometimes Salvation,41.0,0.366,0.662,-4.914,1,0.034,0.00261,0.0594,0.362,148.34,3.0,10.0,4.733333333333333
65,"Britney Spears, will.i.am",Big Fat Bass (feat. will.i.am),41.0,0.777,0.71,-4.717,1,0.0919,0.0295,0.192,0.673,129.945,4.0,9.0,4.747333333
66,Radiohead,Burn the Witch,57.0,0.54,0.847,-6.52,1,0.0297,0.303,0.109,0.62,148.936,4.0,10.0,3.676816666666667
67,Oceans,Shark Tooth,42.0,0.435,0.889,-6.462,0,0.0474,2.38e-05,0.87,0.344,93.896,4.0,8.0,3.30575
68,Arctic Monkeys,R U Mine?,79.0,0.288,0.758,-5.692,0,0.0371,0.00616,0.303,0.619,97.094,4.0,10.0,3.3621
69,The Stranglers,Golden Brown,71.0,0.562,0.383,-15.474,1,0.0304,0.143,0.138,0.599,93.764,3.0,10.0,3.446
70,Joe Bonamassa,Cradle Rock,44.0,0.411,0.91,-4.867,1,0.0392,0.000243,0.0931,0.613,106.675,4.0,10.0,3.8337833333333333
71,LeRoi Thirteen,Stand up and Shout (Cover),41.0,0.49,0.974,-4.295,1,0.115,0.000546,0.336,0.257,108.946,4.0,8.0,3.82695
72,Us The Duo,drivers license,55.0,0.374,0.35,-11.48,1,0.176,0.843,0.188,0.129,74.464,1.0,0.0,3.81156667
73,Keller Williams,Right Here,43.0,0.633,0.194,-14.543,1,0.0729,0.885,0.111,0.421,143.376,4.0,2.0,5.806383333333334
74,Primal Scream,Movin' on Up,63.0,0.523,0.76,-12.437,1,0.0325,0.103,0.0666,0.581,94.267,4.0,10.0,3.80445
75,Lil Son Jackson,Upstairs Boogie,35.0,0.593,0.438,-13.451,0,0.028,0.883,0.317,0.758,130.225,3.0,2.0,2.276
76,Drake,Passionfruit,81.0,0.809,0.463,-11.377,1,0.0396,0.256,0.109,0.364,111.98,4.0,9.0,4.98235
77,Abstract Orchestra,New Day,45.0,0.748,0.411,-6.06,0,0.0489,0.0532,0.115,0.339,91.941,4.0,5.0,2.4175333333333335
78,Luther Allison,Soul Fixin' Man,13.0,0.529,0.595,-13.696,1,0.0375,0.0227,0.0326,0.767,134.642,4.0,2.0,3.13045
79,Elena Falwell,Elegi For Cello,41.0,0.167,0.148,-19.539,1,0.0347,0.955,0.111,0.04,76.412,3.0,7.0,2.7204
80,Sharon Van Etten,Comeback Kid,51.0,0.543,0.927,-5.209,1,0.0755,0.000342,0.0327,0.354,120.097,4.0,10.0,3.038883333333333
81,R.E.M.,Drive,62.0,0.467,0.432,-11.753,1,0.0283,0.175,0.226,0.238,142.642,4.0,10.0,4.522216666666667
82,FCG Heem,Shinin,44.0,0.514,0.387,-11.51,0,0.409,0.0753,0.0485,0.461,84.112,4.0,5.0,3.1135333333333333
83,The Beatles,She's Leaving Home - Remastered,68.11111111111111,0.381,0.214,-11.629,1,0.0337,0.944,0.106,0.393,127.581,3.0,0.0,3.586
84,Tom The Mail Man,Taking Over,60.0,0.762,0.516,-8.016,0,0.0969,0.0288,0.0966,0.721,156.97,4.0,5.0,2.6333333333333333
85,ANSON,Ghost,28.0,0.357,0.943,-6.168,0,0.101,0.000547,0.145,0.482,147.217,4.0,10.0,3.4947
86,Jimmy Eat World,All The Way (Stay),38.0,0.576,0.931,-2.491,1,0.0563,0.00085,0.143,0.735,133.986,4.0,10.0,4.095783333333333
87,dempsey hope,picture perfect,3.0,0.61,0.482,-9.137,1,0.137,0.299,0.0527,0.869,73.628,4.0,9.0,2.4502166666666665
88,Howie Lee,Birdy Island,24.0,0.491,0.504,-13.581,0,0.0566,0.625,0.222,0.145,159.911,4.0,6.0,4.31285
89,Pit Pony,Dutch Courage,25.0,0.117,0.916,-3.281,1,0.0723,1.39e-05,0.219,0.423,151.886,4.0,1.0,4.503416666666666
90,Niko B,Who's That What's That,63.0,0.86,0.668,-8.512,1,0.221,0.423,0.096,0.237,128.096,4.0,9.0,4.0
91,Dan + Shay,Good Things,71.0,0.529,0.621,-6.018,1,0.0296,0.13,0.173,0.617,97.189,4.0,9.0,2.48178333
92,Gossip,Standing In the Way of Control,55.0,0.697,0.919,-6.174,1,0.029,0.00694,0.203,0.943,118.341,4.0,6.0,4.273333333333333
93,Gone Is Gone,Breaks,28.0,0.407,0.932,-6.252,1,0.113,0.00363,0.229,0.173,102.954,4.0,8.0,3.9202333333333335
94,Violent Soho,Covered in Chrome,55.0,0.564,0.753,-5.223,1,0.0433,0.00512,0.167,0.414,152.064,4.0,10.0,3.54245
95,Mr. Oizo,Positif,44.0,0.744,0.928,-5.628,0,0.0495,0.000409,0.132,0.507,123.014,4.0,6.0,2.852
96,Cage The Elephant,Skin and Bones,65.0,0.539,0.788,-3.227,0,0.0396,0.0089,0.29,0.357,159.986,4.0,10.0,3.26955
97,Carusella,Star Quality,11.0,0.431,0.967,-4.555,1,0.114,0.00159,0.142,0.179,146.623,4.0,6.0,4.490666666666667
98,Faith No More,Falling to Pieces,54.333333333333336,0.545,0.919,-7.679,1,0.0483,0.00269,0.0978,0.386,104.364,4.0,10.0,5.226216666666667
99,FLO,D's,66.0,0.266,0.294,-11.938,0,0.0291,0.771,0.107,0.0397,137.941,3.0,9.0,13.51795
100,Pathiena,The Deepest Of Sorrow,40.0,0.645,0.329,-16.642,1,0.0419,0.239,0.375,0.184,128.099,4.0,0.0,3.545833333
101,The Offspring,Coming for You,59.0,0.508,0.912,-1.798,1,0.0827,9.75e-05,0.0669,0.533,139.381,4.0,10.0,3.8097833333333333
102,Pain of Salvation,Meaningless,42.0,0.579,0.661,-4.011,1,0.0422,0.0675,0.303,0.374,144.909,3.0,10.0,4.7911166666666665
103,Lenny Kravitz,Stand By My Woman,54.75,0.521,0.527,-6.371,1,0.0296,0.0931,0.106,0.273,122.271,4.0,10.0,4.327116666666667
104,Black Sabbath,Paranoid,16.0,0.426,0.619,-11.501,0,0.0722,8.44e-05,0.17,0.382,162.721,4.0,10.0,2.80733333
105,The Dark Element,Songs the Night Sings,47.0,0.449,0.854,-8.261,1,0.0431,4.62e-05,0.246,0.408,152.142,4.0,8.0,5.163783333333333
106,Henry Gray,Let's Get High,19.0,0.698,0.609,-6.993,1,0.0485,0.743,0.188,0.665,131.057,4.0,2.0,3.87355
107,Noah Kahan,Young Blood - Acoustic,59.0,0.691,0.231,-10.512,1,0.0471,0.815,0.103,0.298,85.153,4.0,0.0,3.34355
108,The First Edition,Just Dropped In (To See What Condition My Condition Was In),57.0,0.58,0.551,-9.898,0,0.0582,0.181,0.15,0.516,115.896,4.0,10.0,3.35355
109,Alka Yagnik,Aaye Ho Meri Zindagi Mein - Female Version,42.0,0.565,0.754,-11.636,0,0.0344,0.678,0.0756,0.922,135.01,3.0,3.0,6.05555
110,Bryan Adams,I Think About You,43.0,0.616,0.551,-7.27,1,0.0249,0.155,0.099,0.618,75.027,4.0,10.0,3.6062166666666666
111,The Shins,Simple Song,62.0,0.546,0.878,-5.137,1,0.0525,0.0133,0.135,0.35,119.945,4.0,1.0,4.256666666666667
112,benny blanco,Care (with Omar Apollo),50.0,0.618,0.215,-12.8,1,0.04,0.759,0.109,0.214,90.004,4.0,1.0,4.8411
113,The 1975,She's American,57.0,0.639,0.859,-3.923,1,0.0554,0.18,0.0798,0.523,115.97,4.0,10.0,4.501733333333333
114,Winger,Seventeen,60.0,0.577,0.676,-11.931,1,0.0295,0.000895,0.0625,0.676,95.98,4.0,8.0,4.087783333333333
115,Townes Van Zandt,Waitin' Around To Die,52.0,0.551,0.233,-18.251,0,0.0312,0.71,0.11,0.659,89.574,4.0,6.0,2.7531166666666667
116,Piers Faccini,Bring Down The Wall,28.0,0.454,0.387,-10.159,0,0.0417,0.406,0.0783,0.686,97.995,4.0,10.0,3.42555
117,Athletic Progression,Stepney Tale,37.0,0.632,0.8,-7.227,0,0.234,0.547,0.147,0.496,92.757,4.0,5.0,3.4972166666666666
118,Thirty Seconds To Mars,Dangerous Night,56.0,0.295,0.715,-6.533,1,0.0709,0.00212,0.242,0.242,86.937,4.0,10.0,3.32955
119,Pete Rock & C.L. Smooth,Straighten It Out,50.0,0.77,0.656,-11.169,0,0.246,0.11,0.0793,0.788,98.82,4.0,5.0,4.22355
120,Peter Case,Bumble Bee,45.0,0.717,0.245,-10.908,0,0.0493,0.665,0.385,0.502,83.554,4.0,2.0,3.5822166666666666
121,Menahan Street Band,Queens Highway,50.0,0.778,0.399,-8.984,1,0.0858,0.0751,0.103,0.321,137.305,4.0,1.0,1.1286666666666667
122,Butcher Babies,Sleeping with the Enemy,48.0,0.438,0.951,-5.192,0,0.0736,4.63e-05,0.351,0.461,165.088,4.0,8.0,3.548783333333333
123,MICROCORPS,DOR,10.0,0.451,0.776,-11.756,0,0.0587,0.0518,0.11,0.609,177.953,4.0,6.0,5.521733333333334
124,Sarah Palu,Ikivirta,38.0,0.617,0.375,-11.889,0,0.0319,0.742,0.109,0.117,151.983,4.0,1.0,6.459116666666667
125,Saltatio Mortis,Kaufmann und Maid,54.0,0.565,0.768,-5.332,0,0.0382,0.0277,0.0725,0.58,124.006,4.0,8.0,3.7317833333333335
126,JADHU,Fling,32.0,0.62,0.835,-6.711,0,0.0319,0.273,0.113,0.699,99.022,4.0,9.0,3.7512
127,Bring Me The Horizon,Parasite Eve,69.0,0.589,0.797,-5.464,1,0.15,0.0289,0.383,0.232,102.489,4.0,10.0,4.86355
128,Frost*,Day and Age - Edit,38.0,0.443,0.858,-6.935,1,0.0378,0.000843,0.18,0.34,169.951,4.0,8.0,5.02555
129,Toto Espinoza,Frida Kahlo,41.0,0.605,0.162,-12.932,0,0.0353,0.98,0.104,0.126,95.576,3.0,7.0,5.735216667
130,T-Bone Walker,Evil Hearted Woman - Alternate Take,30.0,0.624,0.26,-11.64,1,0.0621,0.904,0.0825,0.551,51.0,4.0,2.0,2.61555
131,K. J. Yesudas,Do Din Ki Jawani - Adalat / Soundtrack Version,7.0,0.513,0.658,-7.185,0,0.0622,0.512,0.21,0.698,145.896,4.0,3.0,3.181333333
132,Jimi Hendrix,Purple Haze,71.0,0.533,0.905,-5.27,1,0.0754,0.00876,0.0698,0.486,108.9,4.0,10.0,2.84688333
133,Lowest Creature,Reapers Fool,23.0,0.487,0.975,-4.974,1,0.105,7.47e-05,0.201,0.526,139.964,4.0,8.0,3.366983333333333
134,Neon Trees,Animal,66.0,0.482,0.829,-5.576,1,0.0437,0.00034,0.378,0.739,147.99,4.0,10.0,3.53845
135,JJ Lin,Bedroom (feat. Anne-Marie),69.0,0.369,0.424,-5.431,1,0.0318,0.64,0.184,0.181,179.597,4.0,9.0,3.39985
136,Foreign Air,Monsters,50.0,0.552,0.673,-4.9,0,0.0298,0.00553,0.114,0.174,89.993,4.0,6.0,3.7342166666666667
137,S. P. Balasubrahmanyam,Mere Rang Mein Rangne Wali,34.0,0.548,0.347,-14.7,0,0.0362,0.771,0.124,0.498,117.75,4.0,3.0,6.90355
138,Scary Kids Scaring Kids,Holding On,49.0,0.421,0.935,-5.153,0,0.0697,0.000442,0.1,0.455,165.02,4.0,10.0,4.354
139,Lawrence of Arcadia,David Keenan,30.0,0.524,0.336,-8.034,1,0.0415,0.841,0.111,0.458,110.964,5.0,0.0,4.757883333
140,Nirvana,In Bloom,65.0,0.436,0.876,-4.902,0,0.0647,3.33e-05,0.205,0.512,157.044,4.0,1.0,4.251333333333333
141,Berry Sakharof,77' - Acoustic Live,17.0,0.5,0.47,-7.996,1,0.0345,0.642,0.276,0.346,158.809,4.0,10.0,4.473333333333334
142,Breezie 311,Shots In The Dark,32.0,0.705,0.756,-5.274,0,0.0415,0.00477,0.0892,0.846,129.98,4.0,10.0,2.3645833333333335
143,Ghali,Combo (feat. Mr Eazi),41.0,0.825,0.781,-4.732,0,0.107,0.0833,0.26,0.812,100.013,4.0,9.0,2.9335333333333335
144,Gwar,Sick of You,48.0,0.657,0.535,-9.715,1,0.047,0.000329,0.318,0.738,132.257,4.0,8.0,3.1471666666666667
145,Downset,Empower,42.0,0.58,0.93,-5.719,1,0.12,0.0128,0.102,0.534,97.917,4.0,8.0,2.40445
146,Blue Material,Blue Blood,37.0,0.621,0.602,-7.796,0,0.0279,0.000316,0.134,0.609,116.011,4.0,6.0,3.8358666666666665
147,Sempra,B Mine?,19.0,0.754,0.92,-4.484,0,0.05,0.183,0.187,0.966,147.998,4.0,1.0,4.43555
148,Malcolm McLaren,Buffalo Gals,41.0,0.881,0.636,-13.617,0,0.156,0.0257,0.207,0.616,108.863,4.0,5.0,4.323783333333333
149,Arcade Fire,Ready to Start,58.0,0.282,0.932,-4.701,1,0.0387,0.12,0.0692,0.536,190.08,4.0,10.0,4.264883333333334
150,Bad Nerves,Dreaming,32.0,0.449,0.958,-6.602,0,0.123,5.33e-06,0.148,0.389,107.458,4.0,6.0,2.1562166666666664
151,3 Doors Down,Your Arms Feel Like home,37.0,0.548,0.709,-6.557,0,0.0273,0.00678,0.104,0.191,119.998,4.0,10.0,3.736883333333333
152,ARXX,Deep,33.0,0.65,0.6,-10.615,0,0.04,0.0278,0.811,0.795,110.016,4.0,10.0,3.0033833333333333
153,Crown Lands,Howlin' Back Again,39.0,0.494,0.969,-2.694,1,0.222,0.172,0.148,0.165,121.214,4.0,10.0,2.8301333333333334
154,The Undercover Dream Lovers,Get to You,42.0,0.761,0.707,-6.208,0,0.0356,0.68,0.0969,0.893,113.976,4.0,6.0,3.4736833333333332
155,A Scent Like Wolves,Telephone,39.0,0.553,0.939,-4.04,0,0.0795,0.000833,0.404,0.369,124.984,4.0,8.0,3.314
156,Otis Junior,When It's Sweet,30.0,0.824,0.489,-5.669,0,0.0692,0.302,0.0887,0.771,86.815,4.0,1.0,2.6708333333333334
157,Madhav Gopi Nair,Mukti,17.0,0.349,0.336,-11.111,1,0.0292,0.723,0.154,0.062,112.966,5.0,6.0,1.86275
158,The Sequence,Funk You Up - 12'' Version,24.0,0.921,0.768,-5.735,1,0.311,0.507,0.053,0.775,103.713,4.0,5.0,10.872
159,Advaita,Ghir Ghir,33.0,0.601,0.728,-10.469,1,0.0436,0.378,0.368,0.862,137.99,3.0,0.0,5.09355
160,John Campbell,Devil in My Closet,30.0,0.353,0.495,-11.503,1,0.0344,0.000119,0.13,0.567,81.018,4.0,2.0,6.01
161,Dan + Shay,Glad You Exist,79.0,0.748,0.551,-6.12,1,0.0349,0.235,0.119,0.66,103.953,4.0,4.0,2.408883333
162,Gymshorts,Gotta Get Away,23.0,0.15,0.843,-8.369,1,0.0439,0.000127,0.665,0.729,180.034,4.0,1.0,2.4322
163,Liz Phair,Fuck and Run,47.0,0.774,0.64,-7.949,1,0.0333,0.743,0.088,0.947,136.226,4.0,1.0,3.132216666666667
164,Stephen Taranto,Pixel Heart: Verdant,28.0,0.373,0.964,-7.925,0,0.0798,0.000152,0.109,0.207,83.958,4.0,8.0,5.20605
165,Deep Purple,Gettin' Tighter,43.0,0.42,0.831,-9.069,1,0.0754,0.00028,0.153,0.752,120.867,4.0,10.0,3.636216666666667
166,Loyle Carner,Yesterday,60.0,0.428,0.98,-2.975,0,0.443,0.0734,0.127,0.423,92.035,4.0,5.0,2.8109
167,Nickelback,Rockstar,70.0,0.616,0.91,-3.004,1,0.0386,0.0459,0.343,0.693,144.072,4.0,10.0,4.200666666666667
168,Post Malone,Motley Crew,90.0,0.797,0.631,-3.818,0,0.0786,0.0904,0.0998,0.288,129.915,4.0,9.0,3.07021667
169,Olivia Rodrigo,good 4 u,99.0,0.563,0.664,-5.044,1,0.154,0.335,0.0849,0.688,166.928,4.0,9.0,2.96911667
170,Rema,Bounce,59.0,0.463,0.847,-6.776,0,0.0511,0.0307,0.117,0.625,114.962,4.0,9.0,3.1297166666666665
171,Charlie Puth,Cheating on You,75.0,0.749,0.535,-6.785,1,0.0336,0.0131,0.0982,0.601,123.042,4.0,9.0,3.2767833333333334
172,Ulver,Little Boy,33.0,0.283,0.41,-14.35,1,0.0423,0.00106,0.109,0.0612,91.127,4.0,10.0,5.3905
173,Alien Ant Farm,Smooth Criminal,75.0,0.653,0.964,-4.261,0,0.0582,0.00316,0.144,0.87,126.928,4.0,9.0,3.4877833333333332
174,Live,Selling The Drama,57.0,0.45,0.914,-6.741,1,0.0647,0.0106,0.101,0.336,124.42,4.0,10.0,3.47155
175,Something Corporate,Punk Rock Princess,51.0,0.522,0.881,-5.231,1,0.0847,0.00303,0.0939,0.369,130.084,4.0,10.0,3.87
176,Buzzcocks,Ever Fallen in Love (With Someone You Shouldn't've)?,64.0,0.266,0.831,-9.07,1,0.0453,0.000862,0.0555,0.778,175.514,4.0,10.0,2.7282166666666665
177,Enamour,Dragonfly,32.0,0.754,0.795,-9.793,0,0.0384,0.0186,0.0852,0.21,122.007,4.0,9.0,4.326766666666667
178,mehro,chance with you,52.0,0.562,0.494,-8.13,0,0.0278,0.864,0.153,0.383,144.104,4.0,9.0,3.5919333333333334
179,Christian Löffler,Pastoral,55.0,0.163,0.191,-20.924,1,0.0365,0.937,0.0961,0.0335,105.104,3.0,1.0,3.6771666666666665
180,Mark Ronson,Uptown Funk (feat. Bruno Mars) - Radio Edit,48.0,0.823,0.66,-4.698,1,0.103,0.00681,0.269,0.956,114.489,4.0,9.0,3.8082166666666666
181,Rosie Flores,Simple Case of the Blues,38.0,0.65,0.63,-6.787,0,0.04,0.278,0.119,0.74,107.69,4.0,2.0,3.645783333333333
182,Ayron Jones,Take Me Away,57.0,0.475,0.844,-4.448,0,0.0622,0.00012,0.221,0.554,156.136,4.0,10.0,4.11555
183,Dream Drop,Reckless Demon Youth,35.0,0.375,0.927,-5.385,0,0.123,0.000111,0.193,0.414,183.998,4.0,8.0,3.050666666666667
184,Langston Hughes,I Have Known Rivers,10.0,0.713,0.146,-14.163,1,0.54,0.784,0.212,0.474,89.267,5.0,5.0,1.1081666666666667
185,Abby Wolfe,Take It Slow,40.0,0.676,0.537,-7.974,1,0.0333,0.51,0.0898,0.388,88.001,4.0,9.0,3.02615
186,Eagles,Life in the Fast Lane - 2013 Remaster,72.0,0.667,0.755,-7.246,1,0.069,0.0966,0.0523,0.883,109.535,4.0,10.0,4.77033333
187,Die Apokalyptischen Reiter,Tiki,34.0,0.408,0.943,-5.247,1,0.129,0.0058,0.343,0.16,98.089,4.0,8.0,2.537533333333333
